Service Item In Oks,Service Item Description,Name,Environment Name,Contract Start Date,Contract End Date
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,ELVS-TEST,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,EPEG,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,EPEG-DEV1,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Accenture LLP,EPEG-TEST,2016-02-22 00:00:00,2017-02-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Action Group Holdings Co. (KSCC),EBFQ,2015-03-06 00:00:00,2018-03-05 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Action Group Holdings Co. (KSCC),EBFQ-TEST,2015-03-06 00:00:00,2018-03-05 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Action Group Holdings Co. (KSCC),EBNS,2015-03-06 00:00:00,2018-03-05 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Action Group Holdings Co. (KSCC),EBNS-DR,2015-03-06 00:00:00,2018-03-05 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Action Group Holdings Co. (KSCC),EBNS-TEST,2015-03-06 00:00:00,2018-03-05 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,ECVZ,2016-02-25 00:00:00,2021-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,ECVZ,2019-03-11 00:00:00,2024-03-10 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,ECVZ-DEV1,2016-02-25 00:00:00,2021-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,ECVZ-DEV1,2019-03-11 00:00:00,2024-03-10 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,ECVZ-TEST,2016-02-25 00:00:00,2021-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,ECVZ-TEST,2019-03-11 00:00:00,2024-03-10 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEEM-TEST,2016-02-25 00:00:00,2021-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEEM-TEST,2019-03-11 00:00:00,2024-03-10 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGE-TEST,2016-02-25 00:00:00,2021-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGE-TEST,2019-03-11 00:00:00,2024-03-10 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGF-TEST,2016-02-25 00:00:00,2021-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGF-TEST,2019-03-11 00:00:00,2024-03-10 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGG-TEST,2016-02-25 00:00:00,2021-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGG-TEST,2019-03-11 00:00:00,2024-03-10 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGH-TEST,2016-02-25 00:00:00,2021-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGH-TEST,2019-03-11 00:00:00,2024-03-10 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGI-TEST,2016-02-25 00:00:00,2021-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Adventist Health,EEGI-TEST,2019-03-11 00:00:00,2024-03-10 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Masraf,ECPT,2016-01-05 00:00:00,2019-01-04 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Masraf,ECPT-DR,2016-01-05 00:00:00,2019-01-04 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Masraf,ECPT-TEST,2016-01-05 00:00:00,2019-01-04 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Masraf,ECQL-TEST,2016-01-05 00:00:00,2019-01-04 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Modon Al Arabia Holding Company,ECVL,2016-02-25 00:00:00,2019-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Modon Al Arabia Holding Company,ECVL,2016-02-25 00:00:00,2023-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Modon Al Arabia Holding Company,ECVL-DR,2016-02-25 00:00:00,2019-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Modon Al Arabia Holding Company,ECVL-DR,2016-02-25 00:00:00,2023-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Modon Al Arabia Holding Company,ECVL-TEST,2016-02-25 00:00:00,2019-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Modon Al Arabia Holding Company,ECVL-TEST,2016-02-25 00:00:00,2023-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Tayer Group LLC.,HCHX,2014-11-16 00:00:00,2017-11-15 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Tayer Group LLC.,HCHX-TEST,2014-11-16 00:00:00,2017-11-15 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Al Tayer Group LLC.,HCHXDEV-TEST,2014-11-16 00:00:00,2017-11-15 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"American Career College, Inc.",HUF,2015-07-15 00:00:00,2018-07-14 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"American Career College, Inc.",HUF,2015-07-15 00:00:00,2024-07-14 00:00:00
